player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Amen Ogbongbemiga,42449,LB,CHI,4,0,6,0,0,0,0,0,0,100,1,1,100,1,1,0,0,7.7,1,13,1,100,0,0,0,0,0,0,0,,0,0,0,1,1,0
Cam Taylor-Britt,83326,CB,CIN,17,0,7,0,0,0,0,0,0,50,1,1,100,1,1,0,0,0.3,2,599,1,50,0,0,0,0,50,1,0,0,0,0,0,1,1,0
Marshon Lattimore,11766,CB,WAS,12,0,32,0,2,0,0,1,0,50,1,1,50,0,0,0,0,0.5,2,394,2,50,0,0,1,0,50,1,1,50,0,0,0,0,0,0
Chris Lammons,49368,CB,IND,5,0,14,0,0,0,0,0,0,100,2,1,50,1,1,0,0,3,2,66,1,50,0,0,0,0,0,0,0,,0,0,0,1,1,0
Mark Robinson,55265,LB,PIT,2,0,25,0,1,0,0,1,0,100,1,1,50,0,0,0,0,25,1,4,1,50,0,0,0,0,0,0,0,,0,0,0,0,0,0
Desmond King II,11906,CB,BLT,2,0,3,0,1,0,0,1,0,100,1,1,50,0,0,0,0,6.7,1,15,1,50,0,0,0,0,0,0,0,,0,0,0,0,0,0
Matthew Adams,38526,LB,NYG,1,0,21,0,1,0,0,0,0,0,0,0,,0,0,0,1,100,1,1,1,50,0,0,1,1,100,1,1,50,0,0,0,0,0,0
Juan Thornhill,50426,S,CLV,11,0,8,1,0,0,0,0,0,0,0,0,,0,0,0,0,0.4,1,234,1,50,0,1,0,0,100,1,1,50,0,0,0,0,0,0
Joe Giles-Harris,39382,LB,JAX,2,0,15,1,0,0,0,0,0,0,0,0,,0,0,0,0,11.1,1,9,1,50,0,1,0,0,100,1,1,50,0,0,0,0,0,0
L'Jarius Sneed,40588,CB,TEN,5,0,31,0,1,0,0,0,0,0,0,0,,0,0,0,1,0.6,1,156,1,50,0,0,1,1,100,1,1,50,0,0,0,0,0,0
Nate Wiggins,144143,CB,BLT,17,0,3,1,1,0,1,1,0,100,2,2,50,0,0,0,0,0.4,2,512,2,50,0,0,0,0,0,0,0,,0,0,0,0,0,0
Jarius Monroe,103580,S,NYJ,2,0,22,0,1,0,0,1,0,100,1,1,50,0,0,0,0,9.1,1,11,1,50,0,0,0,0,0,0,0,,0,0,0,0,0,0
